Product Name,Price,Original Prices,Discount rates
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off
Billion Extra Absorb Diaper Pants - M,649,975,33% off
Himalaya Total Care Baby Pants - XL,637,850,25% off
MamyPoko Pants Extra Absorb Diapers - L,"1,154","1,499",23% off
MamyPoko Pants Standard Diapers - S,359,399,10% off
MamyPoko Pants Extra Absorb Diapers - XL,"1,538","1,998",23% off
MamyPoko Pants Standard Diapers - L,359,399,10% off
"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojo...",429,"1,080",60% off
MamyPoko Pants Extra Absorb Diapers - M,"1,154","1,499",23% off
Huggies Wonder Pants Diaper - L,787,"1,049",24% off
Pampers Baby-Dry Pants Diaper - XL,934,"1,099",15% off
MamyPoko Pants Extra Absorb Diapers - XXL,463,499,7% off
Pampers Active Baby Diapers - New Born,972,999,2% off
MamyPoko Pants Extra Absorb Diapers - L,"1,538","1,998",23% off
MamyPoko Pants Standard Diapers - M,359,399,10% off
"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojo...",225,540,58% off
Billion Extra Absorb Diaper Pants - S,649,975,33% off
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off
MamyPoko Pants Extra Absorb Diapers - New Born,769,999,23% off
MamyPoko Pants Extra Absorb Diapers - M,"1,538","1,998",23% off
Johnson's Baby Skincare Wipes,900,"1,200",25% off
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off
Pampers New Extra Large Size Diapers Pants (28 Count) -...,622,699,11% off
MamyPoko Pants Standard Diapers - XL,359,399,10% off
Himalaya Happy Baby Gift Pack,665,950,30% off
Huggies Wonder Pants Diaper - XXL,424,499,15% off
Himalaya Total Care Baby Pants - L,600,800,25% off
"LuvLap Baby Moisturising Wipes with Aloe Vera, 72 Wipes...",219,297,26% off
Billion Extra Absorb Diaper Pants - L,649,975,33% off
Huggies Wonder Pants Diaper - XS,169,199,15% off
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off
Miss & Chief Baby Playpen Bassinet,"2,999","4,499",33% off
Huggies Wonder Pants Medium Size Diapers Combo Pack Of ...,"1,075","1,398",23% off
Huggies Wonder Pants Diaper - M,787,"1,049",24% off
Pampers Pants Diapers Monthly Box Pack New - XL,"1,759","2,199",20% off
Pampers Baby-Dry Pants Diaper - M,618,699,11% off
Billion Extra Absorb Diaper Pants - XL,649,975,33% off
"Mamaearth Natural Anti Mosquito Body Roll On, 40ml",95,99,4% off
Himalaya Gentle Baby Soap,43,48,10% off
Himalaya Massage Oil,330,375,12% off
MamyPoko Extra Absorb Diaper - XL,"1,229","1,499",18% off
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off
Huggies Wonder pants - XL,763,"1,049",27% off
Odomos Naturals Mosquito Repellent Spray,80,85,5% off
MamyPoko Pants Extra Absorb Diapers - New Born,538,699,23% off
Nestle Nan Pro 2 Follow-up Formula Powder Stage 2,590,NaN,Nan
Himalaya Total Care Baby Pants - M,562,750,25% off
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off
MamyPoko Pants Extra Absorb Diapers - M,657,699,6% off
Dabur Lal Tail,99,100,1% off
Nestle Lactogen Follow-up-Formula (Stage 3),300,NaN,Nan
Pampers Baby-Dry Pants Diaper - M,618,699,11% off
Pampers New Large Size Diapers Pants (44 Count) - L,617,699,11% off
Huggies Wonder Pants Diapers - M,"1,513","2,099",27% off
Himalaya GENTLE BABY SHAMPOO Baby Boys & Baby Girls,80,85,5% off
Pampers Pants Diapers Monthly Box Pack New - L,"1,759","2,199",20% off
Mamaearth 100 Percent Natural Berry Blast Kids Toothpas...,141,149,5% off
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off
Pampers Active Baby Diapers - New Born,972,999,2% off
MamyPoko Pants Extra Absorb Diapers - XXXL,277,299,7% off
Nestle Cerelac 5 Grains & Fruits Cereal,262,NaN,Nan
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off
Johnson's Baby Soap (with New Easy Grip Shape) (Buy 3 G...,221,255,13% off
