Product Name,Price,Original Prices,Discount rates
Writing Fun-Set of 4 Books,108,299,63% off
Death; An Inside Story,239,299,20% off
Pathfinder Nda/Na National Defence Academy & Naval Acad...,630,775,18% off
Attitude Is Everything: Change Your Attitude ... Change...,131,199,34% off
25 Years Upsc IAS/ Ips Prelims Topic-Wise Solved Papers...,290,525,44% off
Cbse Chapterwise Solved Papers 2019-2020 Physics Class ...,231,300,23% off
Concepts of Phyics: v. 1,415,430,3% off
My First Library - Boxset of 10 Board Books,499,899,44% off
Indian Polity 5 Edition,581,800,27% off
Alchemist,155,195,20% off
Nta UGC Paper 1 Teaching and Research Aptitude,359,449,20% off
Man's Search For Meaning: The classic tribute to hope f...,199,299,33% off
Indian Art and Culture,526,695,24% off
Rich Dad Poor Dad,203,299,32% off
The Girl in Room 105,119,199,40% off
Life's Amazing Secrets,190,250,24% off
Atomic Habits,432,699,38% off
Objective General English,203,285,28% off
The Monk Who Sold His Ferrari,137,225,39% off
Word Power Made Easy - The Complete Handbook for Buildi...,140,175,20% off
Wish I Could Tell You,159,199,20% off
NCERT Flamingo And Vistas Supplementary Reader Textbook...,89,100,11% off
You Can Win,245,399,38% off
Cbse Chemistry Chapterwise Solved Papers Class 12 2019-...,197,275,28% off
Cbse Chapterwise Solved Papers 2019-2010 Mathematics Cl...,182,330,44% off
India's Struggle For Independence,269,399,32% off
A Thousand Splendid Suns,349,499,30% off
The Power of Your Subconscious Mind,159,199,20% off
Wise & Otherwise,200,250,20% off
All in One English Language & Literature Cbse Class 10 ...,366,440,16% off
ALCHEMIST,225,350,35% off
Pathfinder Cds Combined Defence Services Entrance Exami...,543,775,29% off
The Monk Who Sold His Ferrari,175,199,12% off
Rich Dad Poor Dad,194,299,35% off
Word Power Made Easy,145,189,23% off
Eat that Frog! - 21 Great Ways to Stop Procastinating a...,200,250,20% off
Bharat Ki Rajvyavastha,576,735,21% off
Inner Engineering - A Yogi's Guide to Joy,186,299,37% off
Mathematics for Class 11 Examination 2020-2021,645,NaN,Nan
Something I Never Told You,200,250,20% off
Certificate Physical and Human Geography,291,325,10% off
Bharat Ki Rajvyavastha,576,735,21% off
The 5 AM Club,244,350,30% off
THE DIARY OF A YOUNG GIRL,140,150,6% off
Anthropology,787,859,8% off
The NAMESAKE,245,350,30% off
Srimad Bhagavad Gita As It Is : HINDI-2016- New Edition...,211,480,56% off
General Knowledge 2021,96,120,20% off
Great Stories for Children,115,195,41% off
IMU CET Exam Full Package,899,"1,699",47% off
Turning Points : A Journey Through Challanges,200,250,20% off
Secrets of the Millionare Mind,156,225,30% off
India Since Independence,315,450,30% off
IIT- JAM Joint Admission Test for M.Sc. Mathematics 15 ...,192,290,33% off
Think and Grow Rich,159,199,20% off
Essential English Grammar,142,225,36% off
Roses Are Blood Red,170,199,14% off
Indian Polity,652,825,20% off
India's Most Fearless 2,239,299,20% off
IIT-JAM Joint Admission Test for M.Sc. from IITs Biotec...,310,350,11% off
Everything is F*cked : - A Book About Hope,349,499,30% off
Set Of Indian Army NER Soldier GD General Duty Recruitm...,230,265,13% off
The Theory Of Everything,150,199,24% off
"UPTET & CTETs Child Development & Education 
Knowledge ...",179,200,10% off
Sochiye Aur Ameer Baniye,157,175,10% off
Target High,979,"1,299",24% off
Mathematics for Class 12,985,NaN,Nan
Annihilation of Caste,349,499,30% off
I've Never Been (Un)Happier,200,250,20% off
Criminal Procedure - R.V. Kelkar's Criminal Procedure,795,NaN,Nan
Who Will Cry When You Die?,156,199,21% off
LOOKING FOR ALASKA,245,350,30% off
You are the Best Wife,114,175,34% off
Law of Torts with Consumer Protection Act,510,525,2% off
Ancient and Medieval India,427,550,22% off
The Malayala Manorama English Yearbook 2020,265,300,11% off
Inner Engineering (Hindi),108,199,45% off
The World's Favourite,540,799,32% off
Rich Dad Poor Dad,185,299,38% off
Odisha D.El.Ed(CT) Entrance Guide 2020,390,541,27% off
The Power of Habit,419,599,30% off
Why I am an Atheist and Other Works,140,175,20% off
1001 Activities Book,360,400,10% off
THE DIARY OF A YOUNG GIRL,140,150,6% off
Bhagavad Gita Yatharoop,199,450,55% off
Challenges to Internal Security of India,229,285,19% off
Ram - Scion of Ikshvaku,238,399,40% off
Train to Pakistan,200,250,20% off
Ctet & Stets Paper 1 and Paper 2 Both,266,399,33% off
IMU CET Exam Full Package,899,"1,699",47% off
The 5 AM Club,225,250,10% off
Will You Still Love Me?,140,199,29% off
41 Years' Chapterwise Topicwise Solved Papers (2019-197...,300,465,35% off
IIT-JAM Joint Admission Test for M.Sc. from IITs Biotec...,310,350,11% off
Lucent Samanya Gyan & Arihant Samanya Gyan 2020,211,230,8% off
India's Most Fearless,200,250,20% off
Bharat Ki Rajvyavastha,538,725,25% off
10000+ Objective MCQS with Explanatory Notes for Genera...,612,850,28% off
Lucent's - General Knowledge 2019 Edition,175,216,18% off
Criminal Procedure - R.V. Kelkar's Criminal Procedure,795,NaN,Nan
Time Management,79,99,20% off
Badi Shoch Ka Bada Jadu,156,225,30% off
"Think and Grow Rich - Magic Formula for Success, Wealth...",190,250,24% off
Law of Torts with Consumer Protection Act,510,525,2% off
The Power of your Subconscious Mind,190,199,4% off
The Power of Your Subconscious Mind,172,195,11% off
HOW TO TALK TO ANYONE,239,350,31% off
The Girl Who Knew Too Much - What if the Loved One You ...,140,175,20% off
All in One Social Science Class Class 9 2019-20,282,410,31% off
"UPTET & CTETs Child Development & Education 
Knowledge ...",179,200,10% off
Objective NCERT at your Fingertips for NEET-AIIMS - Che...,549,700,21% off
7 Years UPSC [IAS/IPS MAINS] GENERAL STUDIES,199,300,33% off
41 Years' Chapterwise Topicwise Solved Papers (2019-197...,271,410,33% off
Odisha D.El.Ed(CT) Entrance Guide 2020,390,541,27% off
One Hundred Years of Solitude,279,399,30% off
Jeet Aapki,219,350,37% off
Modern Indian History With A Primer On Post Independenc...,624,785,20% off
Life is What You Make it,119,150,20% off
Jaya,349,499,30% off
Objective Type Questions on Farm Machinery & Power And ...,225,250,10% off
The Kite Runner,319,499,36% off
The The Magic,315,450,30% off
Xam Idea Complete Course Social Science for Cbse Class ...,357,423,15% off
THE DIARY OF A YOUNG GIRL,140,150,6% off
General Knowledge 2021,19,30,36% off
"Three Thousand Stitches - Ordinary People, Extraordinar...",159,250,36% off
"Diseases of Ear, Nose and Throat","1,369","1,495",8% off
Oxford Student Atlas for India,248,299,17% off
"Business School (only Book, Without Audio Cd)",144,225,36% off
IMU CET Exam Full Package,899,"1,699",47% off
Bharat Nehru Ke Baad,323,450,28% off
Light from Many Lamps,349,499,30% off
Angels And Demons,279,399,30% off
Criminal Procedure - R.V. Kelkar's Criminal Procedure,795,NaN,Nan
