Product Name,Price,Original Prices,Discount rates
Madhur Sugar,48,55,12% off
Rajdhani Rajma Chithra (Whole),179,180,Nan
Tata Iodized Salt,20,NaN,Nan
Emami Healthy & Tasty Kachchi Ghani Mustard Oil Plastic...,133,155,14% off
Roxy Gold Maida,53,55,3% off
Parry's White Label Sugar,59,60,1% off
Maggi Masala Instant Noodles Vegetarian,46,NaN,Nan
Flipkart Supermart Select Cumin Seeds (Jeera),69,128,46% off
Fortune Sunlite Refined Sunflower Oil Pouch,114,130,12% off
Freedom Refined Sunflower Oil Pouch,111,114,2% off
Ananda Ghee 1 L Carton,439,510,13% off
Tata Sampann Fine Besan,52,64,18% off
Tata Sampann Fine Besan,97,125,22% off
Britannia Little Hearts,19,20,5% off
Maggi Pazzta Cheese Macaroni Pasta,25,NaN,Nan
Flipkart Supermart Select Refined Wheat Flour (Maida),60,75,20% off
Fortune Besan,55,NaN,Nan
Fortune Refined Soyabean Oil Pouch,116,130,10% off
Nandini Pure Cow Ghee 1 L Pouch,474,490,3% off
Britannia Marie Gold Biscuits,30,NaN,Nan
Sunfeast Mom's Magic Cashew & Almonds Biscuits,103,105,1% off
Rajdhani Select Sooji,33,41,19% off
Tata Lite Iodized Salt,35,NaN,Nan
bragg ORGANIC RAW UNFILTERED APPLE CIDER VINEGAR Vinega...,319,640,50% off
Real Fruit Juice - Litchi,95,104,8% off
Flipkart Supermart Select Sooji/Rava,58,75,22% off
Tang Orange Instant Drink Mix,128,135,5% off
Parle G Gold Biscuits,114,115,Nan
Red Label Tea Pouch,390,NaN,Nan
Rajdhani Dalia Broken Wheat,33,41,19% off
Apis Royal Zahidi Premium Dates,158,175,9% off
Fortune Rice Bran Oil Pouch,129,130,Nan
Everest Garam Masala,77,78,1% off
Parle Namkeen Hot n Spicy Mixture,82,84,2% off
Rajdhani Mota Poha,55,60,8% off
India Gate Regular Choice Basmati Rice (Medium Grain),357,445,19% off
MTR Gulab Jamun Mix 160 g,119,120,Nan
Dabur Honey Squeezy,140,155,9% off
Flipkart Supermart Select Sugar,59,90,34% off
Everest Coriander,55,56,1% off
Happilo Premium International Super mix Berries,322,365,11% off
Nestle Nan Pro 2 Follow-up Formula Powder Stage 2,590,NaN,Nan
FARMUP Polished Red Masoor Dal (Split),300,399,24% off
Tang Orange Instant Drink Mix,182,210,13% off
