Product Name,Price,Original Prices,Discount rates,Ratings
"Realme 6 (Comet Blue, 128 GB)","16,999",NaN,Nan,4.4
"Redmi Note 8 Pro (Electric Blue, 128 GB)","17,785","17,999",1% off,4.5
"POCO X2 (Atlantis Blue, 128 GB)","18,499","18,999",2% off,4.5
"POCO X2 (Matrix Purple, 128 GB)","18,499","18,999",2% off,4.5
"Vivo Z1Pro (Sonic Black, 64 GB)","13,990","15,990",12% off,4.5
"Vivo Z1Pro (Sonic Black, 128 GB)","16,990","20,990",19% off,4.5
"Vivo Z1Pro (Sonic Black, 64 GB)","14,990","17,990",16% off,4.5
"Redmi Note 7 Pro (Space Black, 64 GB)","12,999","16,999",23% off,4.5
"Vivo Y15 (Burgundy Red, 64 GB)","12,990","15,990",18% off,4.4
"Vivo Y15 (Aqua Blue, 64 GB)","12,990","15,990",18% off,4.4
"Redmi 8 (Onyx Black, 64 GB)","9,499","10,999",13% off,4.4
"POCO X2 (Atlantis Blue, 64 GB)","16,999","17,999",5% off,4.5
"Realme 5 Pro (Sparkling Blue, 64 GB)","14,999","15,999",6% off,4.5
"Realme 5 Pro (Sparkling Blue, 128 GB)","16,999","17,999",5% off,4.5
"Realme 5 Pro (Sparkling Blue, 64 GB)","13,999","14,999",6% off,4.5
"Realme 5 Pro (Crystal Green, 64 GB)","13,999","14,999",6% off,4.5
"Vivo Z1Pro (Sonic Blue, 64 GB)","13,990","15,990",12% off,4.5
"Vivo Z1Pro (Sonic Blue, 128 GB)","16,990","20,990",19% off,4.5
"Vivo Z1Pro (Sonic Blue, 64 GB)","14,990","17,990",16% off,4.5
"Realme 6 Pro (Lightning Blue, 64 GB)","17,999",NaN,Nan,4.5
"Redmi Note 8 Pro (Shadow Black, 64 GB)","15,999","16,999",5% off,4.5
"Realme 6 (Comet Blue, 64 GB)","13,999",NaN,Nan,4.4
"Vivo U10 (Electric Blue, 64 GB)","10,490","11,990",12% off,4.4
"Realme C3 (Frozen Blue, 32 GB)","7,999",NaN,Nan,4.4
"Redmi Note 8 (Neptune Blue, 128 GB)","15,996",NaN,Nan,4.4
"Apple iPhone 7 (Black, 32 GB)","29,499","29,900",1% off,4.5
Samsung Guru Music 2,"1,710","1,950",12% off,4.3
Samsung Guru Music 2,"1,927","1,950",1% off,4.3
"Apple iPhone SE (Black, 128 GB)","47,800",NaN,Nan,4.7
Detel D1 Champ,590,NaN,Nan,3.7
"Redmi Note 8 Pro (Shadow Black, 128 GB)","16,999","17,999",5% off,4.5
Nokia 105 Dual Sim 2017,"1,332","1,349",1% off,4.2
Nokia 105 SS,"1,240",NaN,Nan,4.3
Nokia 105 SS,"1,148",NaN,Nan,4.3
Samsung Guru Music 2,"1,899","1,950",2% off,4.3
"Redmi Note 7 Pro (Space Black, 128 GB)","13,999","17,999",22% off,4.5
Lava A1,840,"1,099",23% off,4.1
Lava A1,880,"1,099",19% off,4.2
Nokia 105 ss,"1,199",NaN,Nan,4.3
Nokia 105 SS,"1,135","1,195",5% off,4.3
"Realme 6 (Comet Blue, 128 GB)","16,999",NaN,Nan,4.4
"POCO X2 (Atlantis Blue, 128 GB)","18,499","18,999",2% off,4.5
"POCO X2 (Matrix Purple, 128 GB)","18,499","18,999",2% off,4.5
"Vivo Z1Pro (Sonic Black, 64 GB)","13,990","15,990",12% off,4.5
"Redmi 8 (Onyx Black, 64 GB)","9,499","10,999",13% off,4.4
"Realme 5 Pro (Sparkling Blue, 64 GB)","13,999","14,999",6% off,4.5
"Realme 5 Pro (Crystal Green, 64 GB)","13,999","14,999",6% off,4.5
"Vivo Z1Pro (Sonic Blue, 64 GB)","13,990","15,990",12% off,4.5
"Redmi 8 (Sapphire Blue, 64 GB)","9,499","10,999",13% off,4.4
Detel D1 Champ,590,NaN,Nan,3.7
"Realme 5 (Crystal Purple, 128 GB)","11,999","12,999",7% off,4.4
"Realme 5 (Crystal Blue, 32 GB)","9,999","10,999",9% off,4.5
"Realme 5 (Crystal Blue, 128 GB)","11,999","12,999",7% off,4.4
"Redmi 8 (Ruby Red, 64 GB)","9,499","10,999",13% off,4.4
"Redmi 8 (Emerald Green, 64 GB)","9,499","10,999",13% off,4.4
"Realme 6 (Comet Blue, 128 GB)","15,999",NaN,Nan,4.4
"POCO X2 (Phoenix Red, 128 GB)","18,499","18,999",2% off,4.5
"Realme C2 (Diamond Sapphire, 32 GB)","7,499","8,999",16% off,4.4
"Realme C2 (Diamond Ruby, 32 GB)","7,499","8,999",16% off,4.4
"Realme 5i (Forest Green, 64 GB)","9,999","10,999",9% off,4.4
"Realme 5i (Aqua Blue, 128 GB)","10,999","11,999",8% off,4.4
"Realme 5i (Aqua Blue, 64 GB)","9,999","10,999",9% off,4.4
"Realme 5i (Forest Green, 128 GB)","10,999","11,999",8% off,4.4
"Realme 6 Pro (Lightning Blue, 128 GB)","19,999",NaN,Nan,4.4
"Infinix Hot 8 (Shark Grey, 64 GB)","7,999","9,999",20% off,4.5
"Infinix Hot 8 (Quetzal Cyan, 64 GB)","7,999","9,999",20% off,4.5
"Realme 6 Pro (Lightning Blue, 128 GB)","18,999",NaN,Nan,4.5
"Redmi Y2 (Gold, 32 GB)","7,999","10,499",23% off,4.5
"Realme C3 (Frozen Blue, 64 GB)","8,999",NaN,Nan,4.4
"Realme 6 (Comet White, 128 GB)","15,999",NaN,Nan,4.4
"POCO X2 (Matrix Purple, 256 GB)","20,999",NaN,Nan,4.5
"Realme 5 (Crystal Purple, 64 GB)","10,999","11,999",8% off,4.4
Nokia 105 ss,"1,199",NaN,Nan,4.3
Detel D1 Champ,590,NaN,Nan,3.7
Nokia 105 SS,"1,135","1,195",5% off,4.3
"Vivo V19 (Piano Black, 128 GB)","27,990","30,990",9% off,4.6
"OnePlus 7T (Glacier Blue, 128 GB)","36,733","37,599",2% off,4.6
"OnePlus 7T (Glacier Blue, 256 GB)","38,356","39,490",2% off,4.6
"Redmi Note 8 Pro (Halo White, 128 GB)","16,999","17,999",5% off,4.5
"OPPO F11 Pro (Aurora Green, 64 GB)","16,890","28,990",41% off,4.4
"OPPO F11 Pro (Thunder Black, 128 GB)","17,990","29,990",40% off,4.4
Lava A1,799,"1,099",27% off,4.2
Lava A1,880,"1,119",21% off,4.1
Lava A1,880,"1,049",16% off,4.1
Lava A1,935,"1,149",18% off,4.2
"Apple iPhone SE (White, 128 GB)","47,800",NaN,Nan,4.7
Samsung Guru Music 2,"1,710","1,950",12% off,4.3
"Vivo V19 (Mystic Silver, 128 GB)","27,990","30,990",9% off,4.6
"Vivo Y12 (Aqua Blue, 64 GB)","10,990","13,990",21% off,4.4
"OPPO F15 (Unicorn White, 128 GB)","21,990","22,990",4% off,4.4
Micromax X380,740,"1,499",50% off,4
Samsung Metro 313 Dual Sim,"2,130","2,340",8% off,4.2
"Honor 9X (Midnight Black, 128 GB)","13,999","15,999",12% off,4.3
"Google Pixel 3a (Clearly White, 64 GB)","30,999","39,999",22% off,4.5
"Google Pixel 3a (Just Black, 64 GB)","30,999","39,999",22% off,4.5
"Mi A3 (More Than White, 64 GB)","12,999","14,999",13% off,4.3
Samsung Metro 313 Dual Sim,"2,130","2,340",8% off,4.2
Hicell C9 Metro,599,NaN,Nan,3.6
Nokia 110,"1,799","2,099",14% off,4.1
Detel D1 Champ,590,NaN,Nan,3.7
Samsung Guru 1200,"1,405",NaN,Nan,4.3
Lava One,"1,159","1,349",14% off,4.1
Lava One,"1,159","1,349",14% off,4.1
Lava ONE,"1,499",NaN,Nan,4.1
Gfive U229,499,599,16% off,3.7
Gfive U229,499,"1,099",54% off,3.7
Kechaoda K66 Plus,999,NaN,Nan,4.1
"Vivo S1 (Skyline Blue, 128 GB)","19,990","22,990",13% off,4.5
"Mi A3 (More Than White, 128 GB)","14,999","17,499",14% off,4.3
"OPPO A5 2020 (Mirror Black, 64 GB)","13,990","15,990",12% off,4.4
"OPPO A5 2020 (Dazzling White, 64 GB)","13,990","15,990",12% off,4.4
"Samsung Galaxy J2 Core (Blue, 16 GB)","6,299","6,999",10% off,4.2
Kechaoda A26,990,NaN,Nan,4.1
"Redmi Note 8 Pro (Shadow Black, 128 GB)","18,999","19,999",5% off,4.5
"Vivo S1 (Skyline Blue, 128 GB)","16,990","19,990",15% off,4.5
"Vivo V17 (Midnight Ocean Black, 128 GB)","24,990","27,990",10% off,4.5
"Honor 9X (Sapphire Blue, 128 GB)","16,999","19,999",15% off,4.4
